iteration,Cooperate,Defect,TitForTat
0,396,1551,553
1,218,1949,333
2,132,2096,272
3,121,2151,228
4,96,2184,220
5,87,2243,170
6,85,2269,146
7,84,2274,142
8,94,2276,130
9,92,2274,134
10,92,2273,135
11,89,2295,116
12,81,2288,131
13,83,2269,148
14,71,2272,157
15,76,2279,145
16,88,2260,152
17,88,2254,158
18,91,2247,162
19,93,2245,162
20,89,2231,180
21,101,2205,194
22,109,2195,196
23,106,2198,196
24,89,2203,208
25,79,2214,207
26,78,2221,201
27,84,2208,208
28,91,2188,221
29,99,2169,232
30,96,2165,239
31,97,2163,240
32,102,2143,255
33,104,2138,258
34,110,2126,264
35,113,2118,269
36,109,2120,271
37,111,2124,265
38,114,2130,256
39,117,2126,257
40,111,2115,274
41,110,2116,274
42,111,2105,284
43,114,2099,287
44,119,2092,289
45,117,2093,290
46,120,2095,285
47,122,2085,293
48,114,2087,299
49,114,2070,316
50,116,2052,332
51,120,2050,330
52,124,2042,334
53,121,2041,338
54,118,2042,340
55,119,2042,339
56,118,2047,335
57,125,2043,332
58,128,2041,331
59,127,2039,334
60,126,2040,334
61,128,2025,347
62,132,2029,339
63,131,2033,336
64,129,2035,336
65,124,2034,342
66,127,2033,340
67,132,2024,344
68,134,2022,344
69,126,2029,345
70,125,2021,354
71,122,2015,363
72,121,2018,361
73,122,2015,363
74,120,2011,369
75,119,2001,380
76,123,1980,397
77,128,1968,404
78,125,1964,411
79,127,1949,424
80,131,1947,422
81,129,1941,430
82,130,1945,425
83,133,1938,429
84,131,1936,433
85,133,1930,437
86,132,1935,433
87,130,1924,446
88,128,1921,451
89,129,1909,462
90,130,1907,463
91,130,1907,463
92,134,1917,449
93,136,1918,446
94,134,1919,447
95,128,1928,444
96,127,1934,439
97,125,1941,434
98,124,1939,437
99,126,1942,432
