iteration,Cooperate,Defect,TitForTat
0,394,1553,553
1,217,1913,370
2,135,2132,233
3,114,2203,183
4,117,2243,140
5,102,2302,96
6,100,2310,90
7,103,2301,96
8,111,2306,83
9,107,2296,97
10,97,2296,107
11,97,2287,116
12,111,2268,121
13,117,2259,124
14,126,2247,127
15,128,2235,137
16,143,2215,142
17,153,2208,139
18,156,2205,139
19,163,2194,143
20,160,2194,146
21,169,2166,165
22,176,2157,167
23,179,2148,173
24,185,2137,178
25,196,2133,171
26,192,2141,167
27,200,2132,168
28,216,2116,168
29,217,2115,168
30,215,2101,184
31,214,2086,200
32,223,2061,216
33,243,2037,220
34,253,2023,224
35,254,2018,228
36,262,1994,244
37,270,1983,247
38,266,1971,263
39,275,1944,281
40,278,1925,297
41,281,1917,302
42,277,1915,308
43,280,1907,313
44,282,1880,338
45,283,1876,341
46,291,1869,340
47,295,1863,342
48,287,1865,348
49,281,1863,356
50,284,1870,346
51,284,1863,353
52,293,1837,370
53,300,1824,376
54,303,1818,379
55,309,1805,386
56,304,1827,369
57,307,1836,357
58,309,1831,360
59,317,1813,370
60,320,1810,370
61,324,1809,367
62,325,1811,364
63,332,1799,369
64,340,1788,372
65,352,1778,370
66,342,1789,369
67,337,1789,374
68,336,1788,376
69,333,1787,380
70,334,1784,382
71,344,1769,387
72,346,1770,384
73,343,1772,385
74,346,1764,390
75,349,1758,393
76,346,1758,396
77,340,1766,394
78,337,1765,398
79,343,1759,398
80,341,1755,404
81,336,1759,405
82,337,1758,405
83,340,1756,404
84,344,1751,405
85,345,1751,404
86,338,1762,400
87,342,1763,395
88,339,1763,398
89,344,1764,392
90,350,1758,392
91,362,1742,396
92,367,1730,403
93,367,1736,397
94,369,1728,403
95,369,1727,404
96,373,1729,398
97,378,1728,394
98,370,1739,391
99,371,1738,391
