iteration,Cooperate,Defect,TitForTat
0,437,1579,484
1,241,1909,350
2,159,2063,278
3,138,2147,215
4,128,2178,194
5,112,2209,179
6,113,2214,173
7,126,2190,184
8,127,2188,185
9,136,2186,178
10,138,2194,168
11,135,2203,162
12,136,2194,170
13,144,2173,183
14,148,2173,179
15,151,2168,181
16,153,2172,175
17,164,2161,175
18,174,2143,183
19,165,2156,179
20,171,2145,184
21,170,2147,183
22,171,2137,192
23,179,2129,192
24,183,2124,193
25,192,2106,202
26,203,2093,204
27,203,2080,217
28,202,2069,229
29,188,2077,235
30,177,2081,242
31,181,2069,250
32,179,2061,260
33,175,2065,260
34,181,2059,260
35,187,2045,268
36,203,2026,271
37,215,2002,283
38,209,1983,308
39,216,1970,314
40,221,1948,331
41,221,1952,327
42,211,1948,341
43,210,1944,346
44,203,1939,358
45,203,1930,367
46,198,1939,363
47,197,1934,369
48,202,1924,374
49,203,1919,378
50,200,1920,380
51,204,1906,390
52,208,1901,391
53,207,1898,395
54,208,1894,398
55,206,1890,404
56,204,1897,399
57,202,1900,398
58,204,1903,393
59,202,1904,394
60,198,1919,383
61,198,1919,383
62,200,1919,381
63,209,1908,383
64,209,1905,386
65,222,1892,386
66,224,1871,405
67,230,1860,410
68,224,1853,423
69,225,1840,435
70,230,1834,436
71,230,1825,445
72,233,1812,455
73,226,1810,464
74,225,1817,458
75,228,1824,448
76,229,1819,452
77,241,1802,457
78,248,1781,471
79,254,1762,484
80,261,1747,492
81,265,1748,487
82,265,1753,482
83,266,1748,486
84,264,1743,493
85,273,1722,505
86,283,1712,505
87,291,1704,505
88,287,1705,508
89,288,1694,518
90,287,1683,530
91,284,1677,539
92,288,1666,546
93,286,1672,542
94,288,1675,537
95,285,1683,532
96,288,1675,537
97,283,1682,535
98,280,1692,528
99,278,1696,526
