iteration,Cooperate,Defect,TitForTat
265,134,1306,1060
266,134,1309,1057
267,134,1313,1053
268,134,1319,1047
269,138,1315,1047
270,139,1319,1042
271,140,1325,1035
272,139,1324,1037
273,142,1318,1040
274,141,1317,1042
275,136,1327,1037
276,138,1318,1044
277,138,1310,1052
278,138,1313,1049
279,138,1316,1046
280,138,1324,1038
281,137,1326,1037
282,138,1324,1038
283,138,1320,1042
284,138,1313,1049
285,138,1311,1051
286,138,1306,1056
287,137,1299,1064
288,136,1300,1064
289,136,1298,1066
290,136,1297,1067
291,134,1296,1070
292,135,1301,1064
293,137,1304,1059
294,141,1303,1056
295,144,1295,1061
296,150,1286,1064
297,153,1284,1063
298,151,1283,1066
299,152,1287,1061
300,152,1287,1061
301,152,1289,1059
302,153,1288,1059
303,155,1283,1062
304,155,1281,1064
305,155,1284,1061
306,156,1293,1051
307,157,1292,1051
308,160,1290,1050
309,164,1282,1054
310,163,1283,1054
311,161,1278,1061
312,156,1285,1059
313,157,1285,1058
314,159,1284,1057
315,155,1288,1057
316,154,1289,1057
317,156,1287,1057
318,158,1287,1055
319,157,1290,1053
320,162,1281,1057
321,162,1286,1052
322,159,1290,1051
323,162,1288,1050
324,167,1280,1053
325,167,1281,1052
326,166,1282,1052
327,166,1285,1049
328,167,1284,1049
329,165,1286,1049
330,163,1287,1050
331,162,1288,1050
332,162,1289,1049
333,164,1286,1050
334,165,1285,1050
335,164,1284,1052
336,163,1283,1054
337,163,1285,1052
338,162,1286,1052
339,162,1287,1051
340,164,1284,1052
341,165,1283,1052
342,164,1285,1051
343,164,1288,1048
344,163,1289,1048
345,161,1285,1054
346,160,1289,1051
347,160,1286,1054
348,158,1287,1055
349,159,1287,1054
350,158,1291,1051
351,157,1290,1053
352,155,1290,1055
353,150,1290,1060
354,142,1297,1061
355,142,1297,1061
356,138,1299,1063
357,134,1306,1060
358,131,1308,1061
359,132,1307,1061
360,131,1311,1058
361,132,1312,1056
362,134,1311,1055
363,134,1314,1052
364,134,1311,1055
365,135,1305,1060
366,137,1306,1057
367,138,1306,1056
368,137,1309,1054
369,135,1308,1057
370,134,1311,1055
371,133,1309,1058
372,135,1304,1061
373,136,1303,1061
374,136,1303,1061
375,137,1301,1062
376,138,1296,1066
377,139,1290,1071
378,140,1287,1073
379,140,1284,1076
380,141,1284,1075
381,138,1284,1078
382,138,1286,1076
383,138,1280,1082
384,138,1278,1084
385,139,1276,1085
386,141,1279,1080
387,140,1274,1086
388,142,1275,1083
389,140,1276,1084
390,140,1275,1085
391,140,1278,1082
392,140,1279,1081
393,140,1281,1079
394,140,1285,1075
395,141,1277,1082
396,141,1277,1082
397,141,1272,1087
398,141,1270,1089
399,141,1273,1086
400,143,1271,1086
401,141,1275,1084
402,143,1273,1084
403,143,1272,1085
404,142,1272,1086
405,141,1276,1083
406,141,1283,1076
407,140,1283,1077
408,141,1283,1076
409,142,1284,1074
410,142,1281,1077
411,143,1279,1078
412,143,1275,1082
413,141,1274,1085
414,141,1274,1085
415,142,1271,1087
416,142,1271,1087
417,142,1282,1076
418,142,1290,1068
419,142,1288,1070
420,142,1295,1063
421,141,1299,1060
422,140,1301,1059
423,140,1299,1061
424,139,1303,1058
425,140,1300,1060
426,140,1301,1059
427,139,1307,1054
428,141,1306,1053
429,143,1304,1053
430,146,1300,1054
431,151,1294,1055
432,150,1299,1051
433,145,1306,1049
434,139,1313,1048
435,141,1309,1050
436,145,1304,1051
437,151,1297,1052
438,152,1304,1044
439,151,1304,1045
440,150,1306,1044
441,150,1306,1044
442,150,1304,1046
443,147,1305,1048
444,148,1303,1049
445,150,1300,1050
446,149,1300,1051
447,151,1297,1052
448,154,1292,1054
449,155,1290,1055
450,158,1290,1052
451,160,1285,1055
452,159,1285,1056
453,162,1283,1055
454,161,1287,1052
455,157,1293,1050
456,151,1301,1048
457,151,1301,1048
458,153,1301,1046
459,147,1310,1043
460,150,1309,1041
461,148,1311,1041
462,145,1314,1041
463,143,1316,1041
464,145,1315,1040
465,140,1319,1041
466,138,1319,1043
467,138,1321,1041
468,138,1319,1043
469,139,1319,1042
470,138,1324,1038
471,138,1328,1034
472,135,1329,1036
473,137,1326,1037
474,135,1331,1034
475,136,1329,1035
476,139,1327,1034
477,141,1324,1035
478,144,1319,1037
479,150,1312,1038
480,153,1310,1037
481,150,1316,1034
482,152,1311,1037
483,153,1312,1035
484,157,1305,1038
485,158,1302,1040
486,159,1303,1038
487,158,1300,1042
488,158,1301,1041
489,162,1297,1041
490,161,1300,1039
491,162,1297,1041
492,161,1300,1039
493,158,1305,1037
494,158,1308,1034
495,153,1312,1035
496,149,1315,1036
497,149,1318,1033
498,154,1310,1036
499,153,1312,1035
500,150,1319,1031
501,152,1316,1032
502,149,1319,1032
503,149,1318,1033
504,150,1313,1037
505,152,1314,1034
506,156,1310,1034
507,152,1316,1032
508,156,1313,1031
509,153,1309,1038
510,149,1310,1041
511,146,1315,1039
512,148,1311,1041
513,148,1316,1036
514,153,1308,1039
515,155,1308,1037
516,158,1303,1039
517,157,1307,1036
518,160,1302,1038
519,162,1303,1035
520,161,1304,1035
521,164,1302,1034
522,164,1303,1033
523,160,1311,1029
524,164,1305,1031
525,160,1307,1033
526,161,1304,1035
527,165,1301,1034
528,166,1301,1033
529,166,1305,1029
530,165,1302,1033
531,165,1303,1032
532,164,1304,1032
533,164,1305,1031
534,165,1307,1028
535,164,1306,1030
536,165,1306,1029
537,164,1304,1032
538,164,1302,1034
539,163,1297,1040
540,162,1298,1040
541,162,1292,1046
542,161,1293,1046
543,164,1287,1049
544,163,1286,1051
545,163,1283,1054
546,161,1287,1052
547,161,1286,1053
548,161,1285,1054
549,160,1283,1057
550,160,1282,1058
551,160,1281,1059
552,159,1276,1065
553,159,1275,1066
554,160,1272,1068
555,157,1274,1069
556,154,1276,1070
557,154,1277,1069
558,154,1278,1068
559,154,1274,1072
560,154,1276,1070
561,153,1274,1073
562,150,1277,1073
563,153,1271,1076
564,151,1271,1078
565,153,1270,1077
566,150,1273,1077
567,150,1274,1076
568,150,1278,1072
569,153,1276,1071
570,153,1276,1071
571,153,1276,1071
572,152,1274,1074
573,148,1280,1072
574,148,1281,1071
575,152,1278,1070
576,152,1280,1068
577,153,1279,1068
578,154,1279,1067
579,157,1275,1068
580,157,1279,1064
581,157,1281,1062
582,157,1277,1066
583,157,1275,1068
584,157,1277,1066
585,157,1281,1062
586,157,1280,1063
587,157,1286,1057
588,157,1286,1057
589,158,1285,1057
590,163,1281,1056
591,165,1276,1059
592,166,1277,1057
593,166,1279,1055
594,166,1282,1052
595,166,1280,1054
596,166,1279,1055
597,166,1278,1056
598,166,1277,1057
599,165,1276,1059
600,164,1278,1058
601,161,1284,1055
602,161,1283,1056
603,162,1281,1057
604,162,1281,1057
605,164,1280,1056
606,161,1283,1056
607,160,1284,1056
608,158,1286,1056
609,161,1282,1057
610,162,1282,1056
611,162,1282,1056
612,161,1283,1056
613,159,1283,1058
614,158,1284,1058
615,158,1283,1059
616,158,1281,1061
617,159,1277,1064
618,162,1275,1063
619,164,1273,1063
620,161,1276,1063
621,160,1275,1065
622,160,1275,1065
623,161,1276,1063
624,163,1275,1062
625,161,1278,1061
626,161,1281,1058
627,162,1283,1055
628,163,1286,1051
629,164,1285,1051
630,164,1284,1052
631,164,1285,1051
632,164,1284,1052
633,164,1286,1050
634,164,1289,1047
635,164,1289,1047
636,164,1287,1049
637,164,1285,1051
638,163,1288,1049
639,163,1286,1051
640,163,1288,1049
641,163,1288,1049
642,162,1290,1048
643,163,1290,1047
644,163,1288,1049
645,163,1288,1049
646,163,1288,1049
647,162,1291,1047
648,163,1290,1047
649,165,1290,1045
650,170,1290,1040
651,175,1290,1035
652,178,1288,1034
653,178,1290,1032
654,178,1290,1032
655,178,1288,1034
656,178,1290,1032
657,178,1287,1035
658,179,1285,1036
659,179,1287,1034
660,179,1284,1037
661,176,1288,1036
662,178,1285,1037
663,179,1282,1039
664,177,1286,1037
665,177,1285,1038
666,177,1286,1037
667,178,1283,1039
668,178,1285,1037
669,178,1287,1035
670,178,1288,1034
671,178,1284,1038
672,177,1286,1037
673,177,1288,1035
674,177,1285,1038
675,176,1287,1037
676,176,1283,1041
677,175,1284,1041
678,173,1284,1043
679,174,1283,1043
680,176,1280,1044
681,176,1286,1038
682,177,1288,1035
683,176,1286,1038
684,174,1287,1039
685,176,1286,1038
686,176,1285,1039
687,175,1287,1038
688,175,1287,1038
689,174,1288,1038
690,174,1288,1038
691,173,1291,1036
692,172,1290,1038
693,172,1289,1039
694,171,1289,1040
695,172,1288,1040
696,172,1290,1038
697,173,1291,1036
698,172,1293,1035
699,173,1293,1034
700,176,1291,1033
701,177,1288,1035
702,174,1292,1034
703,173,1290,1037
704,175,1287,1038
705,175,1287,1038
706,175,1284,1041
707,177,1282,1041
708,177,1283,1040
709,176,1286,1038
710,176,1288,1036
711,176,1289,1035
712,176,1290,1034
713,177,1291,1032
714,177,1292,1031
715,177,1291,1032
716,177,1292,1031
717,177,1293,1030
718,177,1296,1027
719,177,1294,1029
720,177,1289,1034
721,177,1287,1036
722,177,1288,1035
723,177,1284,1039
724,178,1279,1043
725,178,1281,1041
726,178,1280,1042
727,178,1278,1044
728,178,1282,1040
729,178,1285,1037
730,178,1286,1036
731,178,1288,1034
732,178,1291,1031
733,178,1293,1029
734,178,1294,1028
735,177,1299,1024
736,177,1300,1023
737,178,1299,1023
738,178,1297,1025
739,178,1295,1027
740,178,1295,1027
741,178,1296,1026
742,178,1297,1025
743,178,1297,1025
744,178,1299,1023
745,178,1302,1020
746,178,1301,1021
747,178,1302,1020
748,178,1301,1021
749,178,1302,1020
750,178,1304,1018
751,178,1303,1019
752,178,1304,1018
753,178,1302,1020
754,178,1305,1017
755,178,1306,1016
756,178,1303,1019
757,178,1305,1017
758,178,1306,1016
759,178,1305,1017
760,178,1298,1024
761,178,1293,1029
762,178,1296,1026
763,178,1296,1026
764,178,1297,1025
765,178,1297,1025
766,178,1302,1020
767,178,1303,1019
768,178,1303,1019
769,178,1307,1015
770,178,1308,1014
771,178,1307,1015
772,178,1305,1017
773,178,1300,1022
774,178,1301,1021
775,178,1301,1021
776,178,1299,1023
777,178,1300,1022
778,178,1297,1025
779,178,1295,1027
780,177,1294,1029
781,176,1294,1030
782,176,1298,1026
783,176,1300,1024
784,176,1296,1028
785,176,1301,1023
786,176,1301,1023
787,176,1300,1024
788,177,1297,1026
789,178,1299,1023
790,178,1300,1022
791,177,1295,1028
792,177,1293,1030
793,178,1290,1032
794,178,1291,1031
795,177,1292,1031
796,177,1292,1031
797,178,1286,1036
798,178,1289,1033
799,178,1287,1035
800,177,1291,1032
801,177,1293,1030
802,178,1296,1026
803,178,1298,1024
804,178,1300,1022
805,178,1302,1020
806,178,1304,1018
807,178,1302,1020
808,178,1303,1019
809,178,1304,1018
810,178,1299,1023
811,178,1300,1022
812,178,1301,1021
813,178,1297,1025
814,178,1298,1024
815,178,1297,1025
816,178,1298,1024
817,178,1300,1022
818,178,1300,1022
819,178,1298,1024
820,177,1303,1020
821,176,1301,1023
822,176,1302,1022
823,176,1301,1023
824,176,1300,1024
825,176,1297,1027
826,176,1296,1028
827,176,1300,1024
828,176,1301,1023
829,176,1299,1025
830,176,1299,1025
831,176,1299,1025
832,176,1295,1029
833,176,1292,1032
834,176,1290,1034
835,176,1292,1032
836,176,1297,1027
837,176,1297,1027
838,176,1292,1032
839,176,1293,1031
840,176,1295,1029
841,176,1291,1033
842,176,1291,1033
843,177,1295,1028
844,178,1292,1030
845,178,1294,1028
846,178,1292,1030
847,177,1300,1023
848,176,1305,1019
849,176,1306,1018
850,176,1305,1019
851,176,1303,1021
852,176,1303,1021
853,176,1301,1023
854,176,1298,1026
855,176,1296,1028
856,176,1297,1027
857,176,1296,1028
858,176,1298,1026
859,176,1298,1026
860,176,1298,1026
861,176,1299,1025
862,176,1298,1026
863,176,1299,1025
864,176,1300,1024
865,176,1301,1023
866,177,1301,1022
867,178,1300,1022
868,178,1300,1022
869,177,1301,1022
870,177,1301,1022
871,178,1299,1023
872,178,1297,1025
873,178,1297,1025
874,178,1295,1027
875,178,1297,1025
876,178,1298,1024
877,178,1299,1023
878,178,1299,1023
879,178,1300,1022
880,178,1298,1024
881,178,1297,1025
882,177,1295,1028
883,178,1294,1028
884,176,1297,1027
885,177,1296,1027
886,177,1296,1027
887,177,1298,1025
888,177,1298,1025
889,177,1297,1026
890,177,1297,1026
891,177,1295,1028
892,177,1295,1028
893,178,1295,1027
894,177,1295,1028
895,176,1297,1027
896,177,1297,1026
897,177,1298,1025
898,176,1303,1021
899,176,1302,1022
900,175,1306,1019
901,175,1306,1019
902,174,1306,1020
903,174,1304,1022
904,175,1305,1020
905,175,1305,1020
906,175,1304,1021
907,175,1303,1022
908,175,1305,1020
909,176,1304,1020
910,176,1304,1020
911,176,1304,1020
912,176,1304,1020
913,176,1305,1019
914,176,1306,1018
915,176,1305,1019
916,176,1306,1018
917,176,1304,1020
918,176,1304,1020
919,176,1305,1019
920,176,1306,1018
921,176,1307,1017
922,176,1306,1018
923,176,1307,1017
924,176,1306,1018
925,176,1304,1020
926,176,1305,1019
927,176,1304,1020
928,176,1305,1019
929,176,1305,1019
930,177,1302,1021
931,178,1301,1021
932,178,1300,1022
933,178,1300,1022
934,178,1302,1020
935,178,1303,1019
936,178,1303,1019
937,178,1303,1019
938,177,1307,1016
939,177,1308,1015
940,177,1309,1014
941,178,1305,1017
942,177,1311,1012
943,177,1308,1015
944,176,1307,1017
945,178,1307,1015
946,180,1299,1021
947,179,1300,1021
948,181,1299,1020
949,177,1305,1018
950,177,1310,1013
951,177,1310,1013
952,176,1307,1017
953,177,1306,1017
954,179,1303,1018
955,179,1301,1020
956,183,1296,1021
957,177,1302,1021
958,180,1299,1021
959,180,1299,1021
960,180,1294,1026
961,180,1291,1029
962,178,1293,1029
963,175,1295,1030
964,174,1297,1029
965,174,1295,1031
966,174,1298,1028
967,174,1296,1030
968,174,1296,1030
969,174,1296,1030
970,174,1290,1036
971,174,1291,1035
972,174,1292,1034
973,174,1294,1032
974,174,1292,1034
975,174,1295,1031
976,174,1294,1032
977,174,1294,1032
978,174,1296,1030
979,174,1295,1031
980,174,1294,1032
981,174,1296,1030
982,174,1297,1029
983,174,1300,1026
984,174,1300,1026
985,174,1299,1027
986,174,1298,1028
987,174,1297,1029
988,174,1297,1029
989,174,1302,1024
990,174,1303,1023
991,174,1302,1024
992,174,1302,1024
993,174,1300,1026
994,174,1300,1026
995,174,1300,1026
996,175,1300,1025
997,178,1299,1023
998,179,1296,1025
999,183,1293,1024
