iteration,Cooperate,Defect,TitForTat
0,532,1451,517
1,240,1858,402
2,155,2001,344
3,111,2066,323
4,108,2101,291
5,95,2121,284
6,94,2132,274
7,102,2141,257
8,109,2126,265
9,120,2116,264
10,130,2085,285
11,126,2057,317
12,118,2042,340
13,118,2036,346
14,105,2032,363
15,111,2006,383
16,119,1967,414
17,122,1940,438
18,113,1934,453
19,118,1911,471
20,120,1897,483
21,127,1879,494
22,137,1851,512
23,135,1840,525
24,136,1835,529
25,133,1831,536
26,137,1834,529
27,125,1827,548
28,128,1802,570
29,126,1784,590
30,133,1750,617
31,135,1731,634
32,139,1719,642
33,136,1724,640
34,128,1721,651
35,137,1702,661
36,131,1703,666
37,139,1696,665
38,131,1701,668
39,138,1706,656
40,135,1714,651
41,136,1712,652
42,131,1718,651
43,127,1702,671
44,125,1711,664
45,122,1732,646
46,120,1737,643
47,117,1729,654
48,124,1708,668
49,127,1704,669
50,129,1705,666
51,133,1705,662
52,131,1692,677
53,129,1694,677
54,131,1685,684
55,135,1668,697
56,134,1658,708
57,131,1667,702
58,137,1661,702
59,134,1648,718
60,129,1634,737
61,123,1628,749
62,124,1620,756
63,127,1626,747
64,124,1632,744
65,123,1633,744
66,119,1632,749
67,121,1628,751
68,122,1619,759
69,122,1604,774
70,120,1597,783
71,123,1592,785
72,123,1593,784
73,125,1589,786
74,131,1573,796
75,129,1574,797
76,124,1581,795
77,120,1590,790
78,121,1573,806
79,124,1561,815
80,121,1564,815
81,123,1569,808
82,131,1556,813
83,135,1555,810
84,152,1529,819
85,153,1537,810
86,151,1544,805
87,150,1551,799
88,154,1543,803
89,151,1544,805
90,142,1545,813
91,143,1537,820
92,136,1545,819
93,135,1541,824
94,134,1543,823
95,135,1550,815
96,135,1544,821
97,136,1541,823
98,137,1543,820
99,140,1537,823
100,143,1519,838
101,144,1511,845
102,141,1502,857
103,139,1496,865
104,143,1472,885
105,147,1452,901
106,148,1454,898
107,148,1469,883
108,150,1463,887
109,147,1468,885
110,138,1461,901
111,131,1455,914
112,123,1457,920
113,123,1460,917
114,124,1468,908
115,130,1466,904
116,134,1460,906
117,136,1456,908
118,144,1443,913
119,150,1435,915
120,150,1430,920
121,147,1439,914
122,151,1444,905
123,154,1431,915
124,161,1427,912
125,165,1430,905
126,165,1433,902
127,161,1440,899
128,159,1443,898
129,155,1440,905
130,156,1428,916
131,156,1421,923
132,155,1429,916
133,154,1427,919
134,155,1417,928
135,155,1408,937
136,158,1397,945
137,158,1386,956
138,154,1390,956
139,152,1392,956
140,150,1406,944
141,151,1411,938
142,154,1405,941
143,152,1408,940
144,150,1411,939
145,148,1396,956
146,149,1390,961
147,151,1388,961
148,145,1392,963
149,145,1396,959
150,141,1395,964
151,140,1387,973
152,137,1375,988
153,132,1376,992
154,124,1376,1000
155,121,1379,1000
156,121,1371,1008
157,121,1366,1013
158,121,1376,1003
159,120,1384,996
160,116,1387,997
161,117,1392,991
162,119,1392,989
163,120,1396,984
164,119,1393,988
165,120,1392,988
166,118,1399,983
167,120,1385,995
168,120,1377,1003
169,118,1384,998
170,118,1378,1004
171,117,1377,1006
172,118,1370,1012
173,118,1377,1005
174,117,1394,989
175,118,1406,976
176,117,1411,972
177,117,1412,971
178,117,1403,980
179,117,1390,993
180,117,1379,1004
181,117,1367,1016
182,117,1355,1028
183,117,1340,1043
184,117,1324,1059
185,117,1322,1061
186,117,1326,1057
187,117,1331,1052
188,118,1334,1048
189,118,1332,1050
190,118,1334,1048
191,118,1338,1044
192,118,1335,1047
193,118,1337,1045
194,116,1338,1046
195,117,1338,1045
196,117,1341,1042
197,117,1337,1046
198,118,1331,1051
199,118,1334,1048
200,119,1335,1046
201,119,1328,1053
202,118,1327,1055
203,118,1332,1050
204,118,1334,1048
205,119,1337,1044
206,121,1343,1036
207,123,1349,1028
208,121,1364,1015
209,117,1370,1013
210,119,1377,1004
211,128,1366,1006
212,134,1358,1008
213,138,1353,1009
214,142,1338,1020
215,145,1332,1023
216,147,1328,1025
217,142,1332,1026
218,131,1339,1030
219,124,1344,1032
220,125,1338,1037
221,125,1335,1040
222,124,1331,1045
223,128,1331,1041
224,135,1322,1043
225,138,1321,1041
226,130,1332,1038
227,119,1341,1040
228,120,1340,1040
229,118,1341,1041
230,117,1336,1047
231,118,1333,1049
232,121,1332,1047
233,120,1336,1044
234,120,1334,1046
235,121,1327,1052
236,120,1330,1050
237,119,1325,1056
238,120,1321,1059
239,125,1319,1056
240,127,1311,1062
241,126,1316,1058
242,127,1307,1066
243,124,1306,1070
244,124,1308,1068
245,127,1304,1069
246,119,1314,1067
247,119,1315,1066
248,120,1313,1067
249,123,1319,1058
250,125,1316,1059
251,127,1311,1062
252,132,1300,1068
253,133,1303,1064
254,135,1301,1064
255,137,1301,1062
256,135,1300,1065
257,137,1299,1064
258,137,1300,1063
259,139,1299,1062
260,136,1299,1065
261,136,1299,1065
262,136,1305,1059
263,134,1307,1059
264,135,1305,1060
