iteration,Cooperate,Defect,TitForTat
0,565,1399,536
1,297,1836,367
2,189,2029,282
3,137,2123,240
4,115,2151,234
5,115,2161,224
6,120,2182,198
7,116,2174,210
8,118,2179,203
9,113,2169,218
10,123,2148,229
11,126,2138,236
12,126,2128,246
13,133,2126,241
14,136,2117,247
15,153,2091,256
16,170,2067,263
17,173,2063,264
18,181,2022,297
19,180,2003,317
20,182,2000,318
21,187,1991,322
22,196,1989,315
