iteration,Cooperate,Defect,TitForTat
1,806,1224,470
2,459,1660,381
3,322,1826,352
4,236,1917,347
5,209,1963,328
6,199,1975,326
7,195,1978,327
8,179,2005,316
9,179,2026,295
10,164,2036,300
11,166,2048,286
12,160,2041,299
13,170,2037,293
14,186,2017,297
15,188,1991,321
16,178,1985,337
17,179,1977,344
18,191,1954,355
19,195,1931,374
20,213,1905,382
21,213,1910,377
22,218,1889,393
23,234,1859,407
24,234,1843,423
25,229,1845,426
26,240,1827,433
27,253,1795,452
28,245,1799,456
29,248,1800,452
30,249,1792,459
31,243,1788,469
32,244,1769,487
33,236,1766,498
34,229,1752,519
35,233,1745,522
36,242,1715,543
37,234,1707,559
38,230,1712,558
39,245,1703,552
40,256,1693,551
41,256,1689,555
42,274,1661,565
43,276,1657,567
44,273,1658,569
45,276,1659,565
46,276,1655,569
47,279,1662,559
48,281,1662,557
49,290,1652,558
50,292,1648,560
51,292,1649,559
52,289,1651,560
53,298,1637,565
54,300,1635,565
55,298,1639,563
56,298,1636,566
57,296,1633,571
58,305,1630,565
59,309,1630,561
60,313,1612,575
61,316,1604,580
62,325,1589,586
63,340,1579,581
64,351,1561,588
65,348,1566,586
66,346,1563,591
67,344,1569,587
68,332,1574,594
69,335,1565,600
70,333,1568,599
71,329,1565,606
72,328,1575,597
73,327,1570,603
74,336,1570,594
75,335,1559,606
76,330,1567,603
77,337,1561,602
78,343,1547,610
79,347,1540,613
80,349,1542,609
81,356,1525,619
82,357,1531,612
83,359,1534,607
84,354,1542,604
85,360,1540,600
86,365,1536,599
87,371,1520,609
88,375,1515,610
89,374,1524,602
90,369,1517,614
91,367,1508,625
92,368,1494,638
93,375,1477,648
94,377,1473,650
95,381,1476,643
96,383,1475,642
97,391,1463,646
98,387,1460,653
99,388,1457,655
100,385,1463,652
101,388,1448,664
102,394,1440,666
103,394,1433,673
104,393,1431,676
105,408,1422,670
106,407,1413,680
107,417,1413,670
108,415,1419,666
109,427,1416,657
110,437,1412,651
111,426,1411,663
112,423,1420,657
113,432,1418,650
114,434,1421,645
115,439,1406,655
116,433,1398,669
117,432,1391,677
118,439,1383,678
119,446,1376,678
120,446,1369,685
121,441,1364,695
122,442,1358,700
123,433,1361,706
124,432,1361,707
125,431,1364,705
126,434,1367,699
127,434,1357,709
128,434,1357,709
129,434,1352,714
130,436,1351,713
131,433,1362,705
132,424,1370,706
133,423,1367,710
134,417,1367,716
135,419,1365,716
136,418,1368,714
137,420,1364,716
138,424,1364,712
139,414,1371,715
140,411,1375,714
141,412,1388,700
142,423,1386,691
143,425,1386,689
144,426,1376,698
145,425,1379,696
146,428,1377,695
147,429,1375,696
148,425,1378,697
149,420,1382,698
150,420,1388,692
151,422,1395,683
152,423,1398,679
153,421,1401,678
154,419,1404,677
155,425,1389,686
156,424,1387,689
157,428,1376,696
158,423,1376,701
159,423,1370,707
160,423,1370,707
161,431,1363,706
162,421,1365,714
163,420,1357,723
164,422,1345,733
165,423,1331,746
166,423,1334,743
167,419,1336,745
168,414,1344,742
169,413,1350,737
170,409,1352,739
171,413,1357,730
172,407,1361,732
173,409,1364,727
174,413,1361,726
175,414,1355,731
176,414,1356,730
177,409,1354,737
178,402,1356,742
179,402,1360,738
180,409,1341,750
181,407,1342,751
182,405,1342,753
183,404,1336,760
184,400,1337,763
185,399,1337,764
186,399,1339,762
187,397,1342,761
188,393,1347,760
189,389,1353,758
190,390,1352,758
191,396,1347,757
192,400,1343,757
193,396,1345,759
194,389,1353,758
195,385,1354,761
196,387,1358,755
197,391,1359,750
198,397,1349,754
199,398,1353,749
200,405,1347,748
201,409,1342,749
202,407,1337,756
203,400,1342,758
204,395,1345,760
205,397,1350,753
206,396,1354,750
207,397,1350,753
208,398,1349,753
209,399,1343,758
210,403,1332,765
211,405,1330,765
