iteration,Always Hawk,Always Dove,Random
1,1651,295,554
2,1876,128,496
3,1890,87,523
4,1870,72,558
5,1849,60,591
6,1803,58,639
7,1745,44,711
8,1685,49,766
9,1610,45,845
10,1555,43,902
11,1483,36,981
12,1402,33,1065
13,1355,33,1112
14,1297,30,1173
15,1218,32,1250
16,1164,41,1295
17,1086,39,1375
18,998,39,1463
19,926,42,1532
20,864,39,1597
21,805,41,1654
22,767,40,1693
23,699,41,1760
24,664,47,1789
25,623,44,1833
26,587,47,1866
