iteration,Cooperate,Defect,TitForTat
0,420,1514,566
1,240,1911,349
2,172,2046,282
3,112,2120,268
4,82,2155,263
5,74,2183,243
6,74,2195,231
7,76,2179,245
8,74,2180,246
9,81,2146,273
10,91,2108,301
11,96,2082,322
12,108,2056,336
13,110,2045,345
14,118,2035,347
15,128,2012,360
16,127,1989,384
17,128,1956,416
18,137,1933,430
19,129,1918,453
20,134,1908,458
21,138,1922,440
22,144,1908,448
23,141,1885,474
24,145,1848,507
25,150,1838,512
26,146,1825,529
27,148,1806,546
28,143,1795,562
29,144,1784,572
30,143,1767,590
31,151,1759,590
32,156,1771,573
33,158,1761,581
34,158,1764,578
35,159,1747,594
36,154,1747,599
37,151,1740,609
38,152,1749,599
39,155,1743,602
40,151,1740,609
41,155,1737,608
42,167,1730,603
43,164,1717,619
44,164,1719,617
45,165,1724,611
46,165,1715,620
47,164,1712,624
48,166,1700,634
49,174,1683,643
50,182,1660,658
51,183,1653,664
52,181,1640,679
53,182,1648,670
54,182,1632,686
55,184,1623,693
56,183,1632,685
57,185,1637,678
58,185,1643,672
59,191,1629,680
60,199,1610,691
61,192,1618,690
62,191,1613,696
63,186,1616,698
64,175,1614,711
65,174,1600,726
66,172,1593,735
67,168,1590,742
68,170,1578,752
69,173,1578,749
70,169,1580,751
71,174,1579,747
72,182,1584,734
73,181,1581,738
74,179,1583,738
75,178,1582,740
76,183,1577,740
77,192,1568,740
78,188,1568,744
79,185,1564,751
80,179,1567,754
81,183,1567,750
82,187,1553,760
83,183,1558,759
84,182,1556,762
85,181,1565,754
86,182,1561,757
87,187,1562,751
88,186,1573,741
89,184,1567,749
90,184,1571,745
91,183,1566,751
92,178,1563,759
93,175,1558,767
94,171,1558,771
95,168,1563,769
96,160,1568,772
97,164,1560,776
98,167,1556,777
99,173,1541,786
