iteration,Cooperate,Defect,TitForTat
0,420,1500,580
1,228,1835,437
2,176,2000,324
3,157,2051,292
4,163,2040,297
5,150,2066,284
6,150,2060,290
7,147,2071,282
8,152,2076,272
9,142,2062,296
10,144,2067,289
11,136,2058,306
12,136,2047,317
13,130,2032,338
14,130,2007,363
15,136,1960,404
16,139,1947,414
17,139,1926,435
18,155,1903,442
19,168,1888,444
20,160,1870,470
21,177,1828,495
22,197,1797,506
23,205,1787,508
24,215,1765,520
25,225,1754,521
26,226,1743,531
27,229,1729,542
28,240,1708,552
29,246,1699,555
30,256,1664,580
31,265,1648,587
32,266,1649,585
33,270,1652,578
34,271,1654,575
35,256,1668,576
36,248,1676,576
37,257,1660,583
38,270,1642,588
39,274,1629,597
40,285,1603,612
41,286,1596,618
42,285,1593,622
43,280,1586,634
44,279,1582,639
45,279,1580,641
46,277,1579,644
47,282,1568,650
48,292,1550,658
49,288,1545,667
50,287,1558,655
51,293,1563,644
52,295,1568,637
53,298,1552,650
54,303,1548,649
55,303,1555,642
56,315,1547,638
57,311,1554,635
58,310,1548,642
59,311,1551,638
60,301,1558,641
61,303,1562,635
62,294,1573,633
63,287,1577,636
64,287,1578,635
65,286,1577,637
66,287,1572,641
67,288,1579,633
68,287,1566,647
69,291,1534,675
70,287,1532,681
71,282,1524,694
72,285,1502,713
73,286,1501,713
74,286,1496,718
75,287,1493,720
76,288,1491,721
77,285,1495,720
78,288,1496,716
79,287,1491,722
80,289,1480,731
81,293,1474,733
82,297,1470,733
83,296,1471,733
84,295,1469,736
85,292,1473,735
86,289,1477,734
87,295,1472,733
88,299,1463,738
89,298,1462,740
90,302,1452,746
91,303,1442,755
92,303,1445,752
93,303,1441,756
94,300,1439,761
95,300,1440,760
96,301,1448,751
97,301,1450,749
98,302,1455,743
99,298,1441,761
