iteration,Cooperate,Defect,TitForTat
1,813,1251,436
2,583,1603,314
3,416,1831,253
4,346,1941,213
5,278,2021,201
6,255,2069,176
7,264,2062,174
8,247,2069,184
9,261,2059,180
10,275,2043,182
11,276,2034,190
12,276,2040,184
13,293,2024,183
14,291,2031,178
15,286,2033,181
16,278,2046,176
17,275,2048,177
18,282,2020,198
19,282,2022,196
20,298,2008,194
21,311,1977,212
22,304,1972,224
23,321,1944,235
24,317,1939,244
25,321,1938,241
26,330,1916,254
27,335,1906,259
28,349,1889,262
29,359,1889,252
30,368,1875,257
31,357,1876,267
32,373,1853,274
33,384,1838,278
34,395,1831,274
35,394,1834,272
36,403,1813,284
37,402,1784,314
38,404,1772,324
39,394,1789,317
40,381,1799,320
