iteration,Always Hawk,Always Dove,Random
19,886,31,1583
20,861,29,1610
21,816,29,1655
22,784,34,1682
23,737,42,1721
24,704,53,1743
25,652,49,1799
26,584,53,1863
27,527,54,1919
28,502,59,1939
29,453,63,1984
30,428,66,2006
31,411,69,2020
32,407,71,2022
33,384,74,2042
34,365,70,2065
35,352,66,2082
